PROYECTO,PEDIDO,Column1,CLAN,FAMILIA,PROVEEDOR,FECHA DE APROBACION,LUGAR DE ENTREGA,CONCEPTO,SITUACIONES ESPECIALES,% AMORTIZACION,IMPORTE,,,,,,,,,
00580 PARALLEL HOP,1,,MATERIALES,MQAL," ALUBIN DE MEXICO, S. A. DE C. V.",19/03/2025,TLATILCO 112,MAQUILA ALUMINIO, AMORTIZACION,100%, $-   ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Cd. De México a 18 de marzo de 2025.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,PROVEEDOR:," ALUBIN DE MEXICO, S. A. DE C. V.",,,,,,,,,,,,,,,
,,,,," Calle 2 Sur # 120,",,,,,,,,,,,,,,,
,,,,," Parque Industrial Toluca 2000,",,,,,,,,,,,,,,,
,,,,," Toluca, Edo.México.",,,,,,,,,,,,,,,
,,,,, C:P: 50200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,PEDIDO:,,1,,,,,,,,,,,,,,,,,
,FAMILIA:,,MQAL,,EMILIO RIESTRA,,,,,,,,,,,,,,,
,CONCEPTO:,,MAQUILA ALUMINIO,,SRITA. ANGELICA PEDRO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,PROYECTO:,00580 PARALLEL HOP,,,,,,,,,,,,,,,
,,,,CLAN:,MATERIALES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ENTREGAR:,TLATILCO 112,,,,,,,,,,,,,,,
,,,,,COL. TLATILCO,,,,,,,,,,,,,,,
,,,,,DEL. AZCAPOTZALCO,,,,,,,,,,,,,,,
,,,,,CP 02860,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,, AT´N:,HUMBERTO JIMENEZ ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
